sample name,LDLR,ACTA2,MYH7,ATP7B,MEN1,APOB,TSC2,TNNT2,ACTC1,SCN5A,TGFBR1,BMPR1A,KCNQ1,GLA,SMAD4,SMAD3,LMNA,MUTYH,CACNA1S,APC,SDHB,PRKAG2,RET,TNNI3,MYH11,BRCA1,MLH1,SDHC,TMEM43,RYR1,TPM1,VHL,OTC,DSP,MSH2,RB1,RYR2,SDHAF2,MSH6,FBN1,MYL2,WT1,BRCA2,DSG2,PKP2,PTEN,DSC2,TGFBR2,TP53,MYBPC3,KCNH2,COL3A1,PMS2,PCSK9,STK11,NF2,TSC1,MYL3
AgilentQXT-Roche-GIAB_S40_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Roche-GIAB_S60_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
AgilentQXT-Roche-1501199_S1_L001,1.0, 'NaN', 0.983050847458, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.989917695473, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-Roche-0720ME25_S66_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.999834130524, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 0.99823633157, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
AgilentQXT-IDT-0720ME25_S12_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 0.998000249969, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Agilent-110465_S31_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.996265813138, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-IDT-1501199_S53_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-Roche-110465_S39_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 2.44444444444, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Twist-GIAB_S36_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-IDT-0720ME25_S14_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Roche-1501199_S57_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-IDT-1501199_S7_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-IDT-GIAB_S47_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.99990815155, 0.976744186047, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-IDT-1501199_S10_L001,1.0, 'NaN', 1.0, 'NaN', 0.984615384615, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Twist-IDT-1501199_S9_L001,1.0, 'NaN', 0.994152046784, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Agilent-GIAB_S32_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
AgilentQXT-Twist-GIAB_S18_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Agilent-0720ME25_S30_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-Agilent-0720ME25_S52_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.999438832772, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Roche-110465_S59_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN'
Twist-Roche-1501199_S2_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Twist-1501199_S33_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-Roche-GIAB_S42_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.995101415997, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPACovaris-Roche-110465_S63_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 2.08510638298, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-IDT-GIAB_S56_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-Roche-GIAB_S68_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-Agilent-110465_S27_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.69230769231, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-Twist-0720ME25_S34_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.997309228505, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-IDT-110465_S43_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.5, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.999870214147, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
KAPAEnzyme-Roche-1501199_S65_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.03488372093, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 0.999912203687, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 0.997042850945, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Nextera-Twist-110465_S26_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 2.13513513514, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
Twist-Roche-0720ME25_S5_L001,1.0, 'NaN', 1.0, 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
NexteraCap-IDT-0720ME25_S54_L002,1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 1.0, 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 1.0, 'NaN', 'NaN', 'NaN', 'NaN'
